%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
343477000000,3075,343477000000,base_link,-2.905148568376328e-05,-0.00038839695271338366,-0.0052791658071202644,0.9999859892579491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005040059706880942,-0.0012063474680616992,0.0018127952948691318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04084828168338544,-0.027137378233749895,-0.00564350606150299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343479000000,3076,343478000000,base_link,-3.72694674163745e-05,-0.0003852434053213597,-0.005278315817274919,0.999985994692245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01646928142376731,0.006219917288274694,0.0017068950928392018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5084864157670289,0.8070632016162875,19.64728826401784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343479000000,3077,343479000000,base_link,-4.476069764101897e-05,-0.0003819544527350303,-0.005277481855057883,0.9999860000482735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015016327920623065,0.0064986728534149624,0.0016739746650598587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01697654288012647,0.0393836363837591,0.05659649693059521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343481000000,3078,343480000000,base_link,-4.137889108074522e-05,-0.0003750450674311165,-0.005275072415478783,0.9999860155222154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006694453104972118,0.013856850616839904,0.004819128378404345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8129901129101864,-1.8334931969743442,19.881904207132436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343481000000,3079,343481000000,base_link,-3.2526254663837896e-05,-0.0003655793073988045,-0.0052732106493868424,0.9999860291740381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017606593291128615,0.01902447212004645,0.0037177304154557976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793135909756107,-0.36326261263383836,0.9476381288582125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343485000000,3080,343482000000,base_link,-3.123940212851045e-05,-0.00035562792138086637,-0.005273163484572218,0.9999860330523354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002468777221244552,0.01991608425621013,9.412553295820143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32613729325887825,0.307314595642832,17.331293090275665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343485000000,3083,343485000000,base_link,-1.9217865585611233e-05,-0.00033455164378667093,-0.005273695807618318,0.9999860378217288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010617955250739712,0.011262366903222566,-0.0005625054350627314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014540426059197947,-0.01308782674827159,0.047921704940701915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343487000000,3084,343486000000,base_link,-2.197245599535064e-05,-0.0003239106837201403,-0.005274399154478143,0.999986037558845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005621955047091245,0.021252690376280574,-0.001404430733885563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37924828745428113,0.8575284441492632,15.909849787187067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343487000000,3085,343487000000,base_link,-2.446361514245011e-05,-0.00031334259790470354,-0.005275073333482007,0.9999860373121588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005094166093357888,0.021109627251100205,-0.0013462635439537897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02208429772623914,0.029108717989478495,0.01894804512784809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343488000000,3086,343488000000,base_link,-1.6565012985575195e-05,-0.0003074481490677423,-0.00527493119879327,0.999986040053602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015733681871119388,0.011869454988533071,0.00028114161615229243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0876616869899356,-0.6440887357305248,23.815051981646242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
